Product Name,Screen Size (inches),JB Hi-Fi Price,The Good Guys Price,Harvey Norman Price,Product URL,Description,All Specs,Dimensions
"LG 42"" OLED EVO C5 AI 4K UHD Smart TV [2025]","42""",$2195,"$1,000","$2,500",https://www.jbhifi.com.au/products/lg-42-oled-evo-c5-ai-4k-uhd-smart-tv-2025,,TV Category: OLED TVS; Height: 540 mm; Width: 932 mm; Depth: 41 mm; Weight: 10 kg,Height: 540 mm; Width: 932 mm; Depth: 41 mm; Weight: 10 kg
"LG WB22E97GB Ultra Large Screen TV Slim Wall Mount Bracket (LG 97-100"")","22""",$559,$599.00,,https://www.jbhifi.com.au/products/lg-wb22e97gb-ultra-large-screen-tv-slim-wall-mount-bracket-lg-97-100,,TV Category: Wall mounts,
"LG 43"" QNED81A AI LED 4K UHD Smart TV [2025]","43""",$600,$500,"$2,000",https://www.jbhifi.com.au/products/lg-43-qned81a-ai-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 565 mm; Width: 968 mm; Depth: 30 mm; Weight: 9 kg,Height: 565 mm; Width: 968 mm; Depth: 30 mm; Weight: 9 kg
"LG 48"" OLED EVO C5 AI 4K UHD Smart TV [2025]","48""","$2,500","$2,500","$3,000",https://www.jbhifi.com.au/products/lg-48-oled-evo-c5-ai-4k-uhd-smart-tv-2025,,TV Category: OLED TVS; Height: 618 mm; Width: 1071 mm; Depth: 47 mm; Weight: 15 kg,Height: 618 mm; Width: 1071 mm; Depth: 47 mm; Weight: 15 kg
"LG 55"" OLED EVO C5 AI 4K UHD Smart TV [2025]","55""",$3295,"$2,000","$2,000",https://www.jbhifi.com.au/products/lg-55-oled-evo-c5-ai-4k-uhd-smart-tv-2025,,TV Category: OLED TVS; Height: 703 mm; Width: 1222 mm; Depth: 45 mm; Weight: 14 kg,Height: 703 mm; Width: 1222 mm; Depth: 45 mm; Weight: 14 kg
"LG 55"" QNED81A AI LED 4K UHD Smart TV [2025]","55""","$2,000",$800,$800,https://www.jbhifi.com.au/products/lg-55-qned81a-ai-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 716 mm; Width: 1236 mm; Depth: 30 mm; Weight: 16 kg,Height: 716 mm; Width: 1236 mm; Depth: 30 mm; Weight: 16 kg
"LG 65"" OLED EVO M5 AI 4K UHD Smart TV with ZeroConnect Box [2025]","65""","$2,500","$1,500","$2,500",https://www.jbhifi.com.au/products/lg-65-oled-evo-m5-ai-4k-uhd-smart-tv-with-zeroconnect-box-2025,,TV Category: OLED TVS; Height: 970 mm; Width: 1940 mm; Depth: 228 mm; Weight: 37.6 kg,Height: 970 mm; Width: 1940 mm; Depth: 228 mm; Weight: 37.6 kg
"LG 27"" StanbyME 2 Portable Smart Touch Screen","27""",$1695,$994.00,"$1,995.00",https://www.jbhifi.com.au/products/lg-27-stanbyme-2-portable-smart-touch-screen,,TV Category: LED TVs; Height: 210 mm; Width: 1265 mm; Depth: 580 mm; Weight: 21 kg,Height: 210 mm; Width: 1265 mm; Depth: 580 mm; Weight: 21 kg
"LG 83"" OLED EVO C5 AI 4K UHD Smart TV [2025]","83""",$7995,"$2,500","$1,000",https://www.jbhifi.com.au/products/lg-83-oled-evo-c5-ai-4k-uhd-smart-tv-2025,,TV Category: OLED TVS; Height: 1055 mm; Width: 1842 mm; Depth: 53 mm; Weight: 28 kg,Height: 1055 mm; Width: 1842 mm; Depth: 53 mm; Weight: 28 kg
"LG 65"" QNED81A AI LED 4K UHD Smart TV [2025]","65""","$2,000","$2,000","$2,000",https://www.jbhifi.com.au/products/lg-65-qned81a-ai-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 840 mm; Width: 1456 mm; Depth: 30 mm; Weight: 23 kg,Height: 840 mm; Width: 1456 mm; Depth: 30 mm; Weight: 23 kg
"LG 50"" QNED81A AI LED 4K UHD Smart TV [2025]","50""","$2,000",$800,$800,https://www.jbhifi.com.au/products/lg-50-qned81a-ai-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 652 mm; Width: 1123 mm; Depth: 30 mm; Weight: 13 kg,Height: 652 mm; Width: 1123 mm; Depth: 30 mm; Weight: 13 kg
"LG 50"" NANO80A AI LED 4K UHD Smart TV [2025]","50""","$1,888.00",$600,"$1,500",https://www.jbhifi.com.au/products/lg-50-nano80a-ai-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 651 mm; Width: 1121 mm; Depth: 57 mm; Weight: 11.7 kg,Height: 651 mm; Width: 1121 mm; Depth: 57 mm; Weight: 11.7 kg
"LG 75"" QNED81A AI LED 4K UHD Smart TV [2025]","75""","$2,000","$2,000","$1,000",https://www.jbhifi.com.au/products/lg-75-qned81a-ai-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 965 mm; Width: 1677 mm; Depth: 31 mm; Weight: 33 kg,Height: 965 mm; Width: 1677 mm; Depth: 31 mm; Weight: 33 kg
"LG 77"" OLED EVO G4 4K UHD Smart TV (2024)","77""","$5,788.00","$5,794.00","$2,000",https://www.jbhifi.com.au/products/lg-77-oled-evo-g4-4k-uhd-smart-tv-2024,,TV Category: OLED TVS; Height: 1130 mm; Width: 1879 mm; Depth: 228 mm; Weight: 51.1 kg,Height: 1130 mm; Width: 1879 mm; Depth: 228 mm; Weight: 51.1 kg
"LG 43"" NANO80A AI LED 4K UHD Smart TV [2025]","43""",,,,https://www.jbhifi.com.au/products/lg-43-nano80a-ai-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 564 mm; Width: 967 mm; Depth: 57 mm; Weight: 8.8 kg,Height: 564 mm; Width: 967 mm; Depth: 57 mm; Weight: 8.8 kg
"LG 65"" OLED B5 AI 4K UHD Smart TV [2025]","65""",,,,https://www.jbhifi.com.au/products/lg-65-oled-b5-ai-4k-uhd-smart-tv-2025,,TV Category: OLED TVS; Height: 832 mm; Width: 1449 mm; Depth: 46 mm; Weight: 17.1 kg,Height: 832 mm; Width: 1449 mm; Depth: 46 mm; Weight: 17.1 kg
"LG 100"" QNED86A EVO AI Mini-LED 4K UHD Smart TV [2025]","100""",$8995,,,https://www.jbhifi.com.au/products/lg-100-qned86a-evo-ai-mini-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 1620 mm; Width: 2390 mm; Depth: 285 mm; Weight: 95 kg,Height: 1620 mm; Width: 2390 mm; Depth: 285 mm; Weight: 95 kg
"LG 65"" QNED93A EVO Mini-LED AI 4K UHD Smart TV [2025]","65""",,,,https://www.jbhifi.com.au/products/lg-65-qned93a-evo-mini-led-ai-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 1000 mm; Width: 1795 mm; Depth: 144 mm; Weight: 28 kg,Height: 1000 mm; Width: 1795 mm; Depth: 144 mm; Weight: 28 kg
"LG 65"" OLED EVO C5 AI 4K UHD Smart TV [2025]","65""",$4295,,,https://www.jbhifi.com.au/products/lg-65-oled-evo-c5-ai-4k-uhd-smart-tv-2025,,TV Category: OLED TVS; Height: 826 mm; Width: 1441 mm; Depth: 45 mm; Weight: 17 kg,Height: 826 mm; Width: 1441 mm; Depth: 45 mm; Weight: 17 kg
"LG 77"" OLED EVO G5 AI 4K UHD Smart TV [2025]","77""",$7995,,,https://www.jbhifi.com.au/products/lg-77-oled-evo-g5-ai-4k-uhd-smart-tv-2025,,TV Category: OLED TVS; Height: 982 mm; Width: 1712 mm; Depth: 25 mm; Weight: 34 kg,Height: 982 mm; Width: 1712 mm; Depth: 25 mm; Weight: 34 kg
"LG 55"" OLED EVO G5 AI 4K UHD Smart TV [2025]","55""",,,,https://www.jbhifi.com.au/products/lg-55-oled-evo-g5-ai-4k-uhd-smart-tv-2025,,TV Category: OLED TVS; Height: 703 mm; Width: 1222 mm; Depth: 27 mm; Weight: 17 kg,Height: 703 mm; Width: 1222 mm; Depth: 27 mm; Weight: 17 kg
"LG 32"" HD LR65 Smart TV [2025]","32""",$288,,,https://www.jbhifi.com.au/products/lg-32-hd-lr65-smart-tv-2025,,TV Category: LED TVs; Height: 510 mm; Width: 812 mm; Depth: 134 mm; Weight: 5.9 kg,Height: 510 mm; Width: 812 mm; Depth: 134 mm; Weight: 5.9 kg
"LG 97"" OLED EVO G5 AI 4K UHD Smart TV [2025]","97""",$37995,,,https://www.jbhifi.com.au/products/lg-97-oled-evo-g5-ai-4k-uhd-smart-tv-2025,,TV Category: OLED TVS; Height: 1530 mm; Width: 2365 mm; Depth: 335 mm; Weight: 97 kg,Height: 1530 mm; Width: 2365 mm; Depth: 335 mm; Weight: 97 kg
"LG 86"" NANO80A AI LED 4K UHD Smart TV [2025]","86""",$2895,,,https://www.jbhifi.com.au/products/lg-86-nano80a-ai-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 1104 mm; Width: 1927 mm; Depth: 60 mm; Weight: 45 kg,Height: 1104 mm; Width: 1927 mm; Depth: 60 mm; Weight: 45 kg
"LG 75"" NANO80A AI LED 4K UHD Smart TV [2025]","75""",,,,https://www.jbhifi.com.au/products/lg-75-nano80a-ai-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 964 mm; Width: 1678 mm; Depth: 60 mm; Weight: 31.4 kg,Height: 964 mm; Width: 1678 mm; Depth: 60 mm; Weight: 31.4 kg
"LG 65"" OLED EVO G5 AI 4K UHD Smart TV [2025]","65""",$5295,,,https://www.jbhifi.com.au/products/lg-65-oled-evo-g5-ai-4k-uhd-smart-tv-2025,,TV Category: OLED TVS; Height: 826 mm; Width: 1441 mm; Depth: 24 mm; Weight: 22 kg,Height: 826 mm; Width: 1441 mm; Depth: 24 mm; Weight: 22 kg
"LG 97"" OLED EVO M5 AI 4K UHD Smart TV with ZeroConnect Box [2025]","97""",$39995,,,https://www.jbhifi.com.au/products/lg-97-oled-evo-m5-ai-4k-uhd-smart-tv-with-zeroconnect-box-2025,,TV Category: OLED TVS; Height: 1530 mm; Width: 2715 mm; Depth: 335 mm; Weight: 102.9 kg,Height: 1530 mm; Width: 2715 mm; Depth: 335 mm; Weight: 102.9 kg
"LG 86"" QNED81A AI LED 4K UHD Smart TV [2025]","86""",,,,https://www.jbhifi.com.au/products/lg-86-qned81a-ai-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 1108 mm; Width: 1928 mm; Depth: 31 mm; Weight: 50 kg,Height: 1108 mm; Width: 1928 mm; Depth: 31 mm; Weight: 50 kg
"LG 65"" QNED86A EVO AI Mini-LED 4K UHD Smart TV [2025]","65""",$1488,,,https://www.jbhifi.com.au/products/lg-65-qned86a-evo-ai-mini-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 840 mm; Width: 1456 mm; Depth: 30 mm; Weight: 23 kg,Height: 840 mm; Width: 1456 mm; Depth: 30 mm; Weight: 23 kg
"LG 86"" QNED86A EVO AI Mini-LED 4K UHD Smart TV [2025]","86""",$4295,,,https://www.jbhifi.com.au/products/lg-86-qned86a-evo-ai-mini-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 1108 mm; Width: 1928 mm; Depth: 31 mm; Weight: 50 kg,Height: 1108 mm; Width: 1928 mm; Depth: 31 mm; Weight: 50 kg
"LG 77"" OLED EVO C5 AI 4K UHD Smart TV [2025]","77""",$5995,,,https://www.jbhifi.com.au/products/lg-77-oled-evo-c5-ai-4k-uhd-smart-tv-2025,,TV Category: OLED TVS; Height: 982 mm; Width: 1711 mm; Depth: 47 mm; Weight: 24 kg,Height: 982 mm; Width: 1711 mm; Depth: 47 mm; Weight: 24 kg
"LG 55"" NANO80A AI LED 4K UHD Smart TV [2025]","55""",,,,https://www.jbhifi.com.au/products/lg-55-nano80a-ai-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 715 mm; Width: 1235 mm; Depth: 58 mm; Weight: 14 kg,Height: 715 mm; Width: 1235 mm; Depth: 58 mm; Weight: 14 kg
"LG 48"" OLED B5 AI 4K UHD Smart TV [2025]","48""",,,,https://www.jbhifi.com.au/products/lg-48-oled-b5-ai-4k-uhd-smart-tv-2025,,TV Category: OLED TVS; Height: 620 mm; Width: 1070 mm; Depth: 46 mm; Weight: 12 kg,Height: 620 mm; Width: 1070 mm; Depth: 46 mm; Weight: 12 kg
"LG 55"" QNED86A EVO AI Mini-LED 4K UHD Smart TV [2025]","55""",$1795,,,https://www.jbhifi.com.au/products/lg-55-qned86a-evo-ai-mini-led-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 716 mm; Width: 1236 mm; Depth: 30 mm; Weight: 16 kg,Height: 716 mm; Width: 1236 mm; Depth: 30 mm; Weight: 16 kg
"LG 75"" QNED93A EVO Mini-LED AI 4K UHD Smart TV [2025]","75""",$3595,,,https://www.jbhifi.com.au/products/lg-75-qned93a-evo-mini-led-ai-4k-uhd-smart-tv-2025,,TV Category: LED TVs; Height: 1103 mm; Width: 2060 mm; Depth: 164 mm; Weight: 38 kg,Height: 1103 mm; Width: 2060 mm; Depth: 164 mm; Weight: 38 kg
"LG 83"" OLED EVO M5 AI 4K UHD Smart TV with ZeroConnect Box [2025]","83""",,,,https://www.jbhifi.com.au/products/lg-83-oled-evo-m5-ai-4k-uhd-smart-tv-with-zeroconnect-box-2025,,TV Category: OLED TVS; Height: 1210 mm; Width: 2354 mm; Depth: 253 mm; Weight: 59.1 kg,Height: 1210 mm; Width: 2354 mm; Depth: 253 mm; Weight: 59.1 kg
